Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
P63322	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P63329	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P67779	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
P68255	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P68370	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P68511	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P69897	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P70490	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0
P70500	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P70566	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P70580	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P70587	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P81155	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0
P82471	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P82995	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1
P84076	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P84092	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P84245	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P85007	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P85108	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P85171	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P85515	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97521	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97536	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P97544	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97546	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97603	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97685	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
P97686	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97700	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P97710	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P97829	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
P97846	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q00715	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
